2023-03-10/23:17:53		Exception occured in get_data method of the Data_Getter class. Exception message:  not writable
2023-03-10/23:26:29		Exception occured in get_data method of the Data_Getter class. Exception message:not writable
2023-03-10/23:28:02		Entered the get_data method of the Data_Getter class
2023-03-10/23:28:02		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-10/23:38:14		Entered the get_data method of the Data_Getter class
2023-03-10/23:38:14		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-10/23:40:43		Entered the get_data method of the Data_Getter class
2023-03-10/23:40:43		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-10/23:42:46		Entered the get_data method of the Data_Getter class
2023-03-10/23:42:46		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-10/23:45:04		Entered the get_data method of the Data_Getter class
2023-03-10/23:45:04		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/19:06:02		Entered the get_data method of the Data_Getter class
2023-03-11/19:06:02		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/20:11:33		Entered the get_data method of the Data_Getter class
2023-03-11/20:11:33		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/20:13:45		Entered the get_data method of the Data_Getter class
2023-03-11/20:13:45		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/20:13:45		Entered the get_data method of the Data_Getter class
2023-03-11/20:13:45		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/20:27:35		Entered the get_data method of the Data_Getter class
2023-03-11/20:27:35		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/20:27:35		Entered the get_data method of the Data_Getter class
2023-03-11/20:27:35		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/20:41:19		Entered the get_data method of the Data_Getter class
2023-03-11/20:41:19		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/20:41:19		Entered the get_data method of the Data_Getter class
2023-03-11/20:41:19		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/21:40:59		Entered the get_data method of the Data_Getter class
2023-03-11/21:40:59		Data Load Successful.Exited the get_data method of the Data_Getter class
2023-03-11/21:40:59		Entered the get_data method of the Data_Getter class
